"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","9V","",""
"2","C1, C2, C7, C11","4","1uF","",""
"3","C3, C12","2","10uF","",""
"4","C4, C5, C6, C8","4","100uF","",""
"5","C9, C13","2","100nF","",""
"6","C10","1","0.1uF","",""
"7","D1, D2","2","D_Zener","",""
"8","DisplayOLED1","1","SSD1306","Footprints:128x64OLED",""
"9","IC_OA1","1","OPA4991MDYYREP","SOP50P326X110-14N",""
"10","LDRsConn1","1","Conn_01x04_Male","",""
"11","LM317VoltageRegulator1","1","LM317_TO-252","Package_TO_SOT_SMD:TO-252-2",""
"12","LM337VoltageRegulator1","1","LM337_TO252","Package_TO_SOT_SMD:TO-252-2",""
"13","MIcrocontroler1","1","STM32F411CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",""
"14","MicroSD1","1","Micro_SD_Card_Det","",""
"15","R1","1","62R","",""
"16","R2, R3","2","1K","",""
"17","R4, R5","2","100K","",""
"18","R6","1","300R","",""
"19","R7","1","180R","",""
"20","R8","1","1k","",""
"21","R9","1","10k","",""
"22","R10","1","240R","",""
"23","R11, R12, R13, R14, R15, R23, R24","7","4.7K","",""
"24","R16","1","390R","",""
"25","R17, R18, R19, R20, R21, R22","6","22R","",""
"26","ServoConn1","1","Conn_01x03_Male","",""
"27","SolarPanelConn1","1","Conn_01x02_Pin","",""
"28","SW1, SW2","2","SW_Push","",""
